18|20|2016-01-13|155|11.625|6.25|172.875
23|694|2016-01-13|56.5|4.2375|3.75|64.4875
26|35|2016-01-13|56.5|4.2375|3.75|64.4875
27|11|2016-01-13|56.5|4.2375|3.75|64.4875
28|12|2016-01-13|56.5|4.2375|3.75|64.4875
29|13|2016-01-13|56.5|4.2375|3.75|64.4875
30|15|2016-01-13|56.5|4.2375|3.75|64.4875
31|11|2016-01-13|56.5|4.2375|3.75|64.4875
32|40|2016-01-13|113|8.475|5|126.475
33|33|2016-01-13|163|12.225|6.25|181.475
41|333|2016-01-13|56.5|4.2375|3.75|64.4875
42|666|2016-01-13|56.5|4.2375|3.75|64.4875
43|332|2016-01-13|56.5|4.2375|3.75|64.4875
44|555|2016-01-13|56.5|4.2375|3.75|64.4875
45|213|2016-01-13|56.5|4.2375|3.75|64.4875
46|20|2016-01-13|215.5|16.1625|7.5|239.1625
47|10|2016-01-13|236.5|17.7375|8.75|262.9875
48|25|2016-01-14|56.5|4.2375|3.75|64.4875
49|694|2016-01-14|98.5|7.3875|5|110.8875
50|20|2016-01-14|56.5|4.2375|3.75|64.4875
57|88|2016-01-14|56.5|4.2375|3.75|64.4875
58|10|2016-01-19|56.5|4.2375|3.75|64.4875
59|50|2016-01-19|565|42.375|15|622.375
60|15|2016-01-19|56.5|4.2375|3.75|64.4875
62|15|2016-01-19|56.5|4.2375|3.75|64.4875
66|10|2016-01-24|56.5|4.2375|3.75|64.4875
68|10|2016-01-26|56.5|4.2375|3.75|64.4875
69|11|2016-01-26|42|3.15|3.75|48.9
101|10|2016-02-09|56.5|4.2375|3.75|64.4875
102|408|2016-02-09|169.5|12.7125|6.25|188.4625
104|25|2016-02-22|56.5|4.2375|3.75|64.4875
105|239|2016-02-22|113|8.475|5|126.475
106|125|2016-02-23|169.5|12.7125|6.25|188.4625
108|495|2016-02-28|56.5|4.2375|3.75|64.4875
110|470|2016-02-28|113|8.475|5|126.475
111|233|2016-04-19|113|8.475|5|126.475
114|495|2016-04-26|113|8.475|5|126.475
115|200|2016-04-26|56.5|4.2375|3.75|64.4875
116|326|2016-04-26|56.5|4.2375|3.75|64.4875
117|601|2016-05-07|109|8.175|5|122.175
118|523|2016-06-13|56.5|4.2375|3.75|64.4875
